,Pseudomonadales,Enterobacteriales,Xanthomonadales,Burkholderiales,Verrucomicrobiales,Sphingomonadales,Bacillales,Rhizobiales,Micrococcales
LH38_Z1_1,0.021209432,0.006338742,0.072616633,0.059203854,0.026749493,0.088881846,0.038083164,0.069117647,0.030324544
LH38_Z1_2,0.041924442,0.009089757,0.06880071,0.055831643,0.021564402,0.090770791,0.045537525,0.06476927,0.027548174
LH38_Z2_1,0.116620183,0.001419878,0.059799696,0.046957404,0.045791075,0.093914807,0.048909736,0.051280426,0.030476673
LH38_Z2_2,0.094624746,0.059685598,0.062816937,0.057403651,0.055742901,0.105831643,0.024657708,0.064896045,0.040986308
LH38_Z3_2,0.271272819,0.370068458,0.036688641,0.026774848,0.021310852,0.05211714,0.012056288,0.021133367,0.013666329
LH38_Z3_3,0.060889959,0.011016734,0.056516227,0.05872211,0.03719574,0.11497211,0.097971602,0.053549696,0.073668864
LH39_Z1_2,0.01214503,0.003410243,0.082365619,0.037335193,0.019536004,0.091823022,0.021817951,0.04188641,0.017621704
LH39_Z1_3,0.013628296,0.009508114,0.065365112,0.065073529,0.014072008,0.08351927,0.027434077,0.064439655,0.02948783
LH39_Z2_1,0.029348377,0.005210446,0.080007606,0.059229209,0.036511156,0.130172414,0.028511663,0.081858519,0.025976166
LH39_Z2_2,0.009761663,0.003625761,0.054411765,0.054868154,0.113108519,0.097464503,0.028093306,0.04974645,0.018813387
LH39_Z3_1,0.060015213,0.011130832,0.065048174,0.089236815,0.065580629,0.107948783,0.045600913,0.056731744,0.026736815
LH39_Z3_2,0.076140974,0.023149087,0.063767748,0.071919371,0.074391481,0.113691684,0.03362069,0.054969574,0.021082657
IB014_Z1_1,0.023580122,0.008138945,0.073808316,0.047958925,0.041607505,0.086004057,0.045131846,0.057302231,0.023174442
IB014_Z1_2,0.161612576,0.020854462,0.061980223,0.043280933,0.022261663,0.094295132,0.027307302,0.059470081,0.018242901
IB014_Z2_1,0.019447262,0.006782454,0.060547667,0.06481998,0.080362576,0.099784483,0.073719574,0.079158215,0.035357505
IB014_Z2_2,0.024087221,0.003296146,0.062816937,0.07106998,0.050519777,0.16012931,0.032264199,0.074264706,0.031757099
IB014_Z2_3,0.016113083,0.001648073,0.054994929,0.048098377,0.198301217,0.085522312,0.020829108,0.078435598,0.039338235
IB014_Z3_1,0.026483266,0.005755578,0.06078854,0.068585193,0.056364097,0.144890974,0.059482759,0.076128296,0.036409736
IB014_Z3_2,0.012170385,0.043090771,0.078105984,0.093217546,0.083608012,0.136397059,0.028942698,0.091556795,0.024923935
